Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20181016_Tsang_Autumn_480p.mp4,2019-01-15,260,2,0,1,0,1,0,0,
20181218_sick_v2_480p.mp4,2019-01-15,330,2,0,2,0,0,0,0,
20170220_IT_toymachine_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20181225_ENT_MA_480p.mp4,2019-01-15,165,2,0,0,0,2,0,0,
20170822_ENT_TVXQ_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20180516_Ent_hsuan_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20180228_Ent_Supper_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181217_ENT_lam_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170531_minieat_chocolate_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180824_LandsSeminar_Golf_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20171123_Peggy_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180912_LandsSeminar_v2_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180403_ENT_tsang_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20170111_cook_mango_v2_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
3manlive_ep43_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20171114_ENT_lau_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181029_LungGor_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20170207_health_uterus_1_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180809_NetDaily_Shiba_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20171115_minCook_Pizza_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181127_TalkUpAndDown_480p.mp4,2019-01-15,600,1,0,1,0,0,0,0,
20181125_listComp_baguio_v2_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180814_ENT_tam_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20170526_daily_TrumpsEp2_480p.mp4,2019-01-15,0,1,0,0,0,0,1,0,
3manLive_EP18_480p.mp4,2019-01-15,390,1,0,0,0,1,0,0,
20180807_Tsang_man_480p.mp4,2019-01-15,0,1,1,0,0,0,0,0,
20171211_TGIF_Hotpot_480p.mp4,2019-01-15,130,1,0,0,0,1,0,0,
20181206_Ent_RosamundKwan_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180927_ENT_chu_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181022_fin_v2_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20171122_mincook_Rose_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180419_Peggy_v2_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20181231_Ent_SammiCheng_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20190106_WhatsNew_Mortgage_480p.mp4,2019-01-15,455,1,0,1,0,0,0,0,
20181026_TGIF_Tea_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170606_health_Stroke_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170808_Ent_lau_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170828_ENT_liza_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20181223_daily_tsunami_v3_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170811_TGIF_DurianBuffet_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170511_ENT_Aaron_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180829_Tsang_jam_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180918_ENT_tvb_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20181112_Finance_Tencent_480p.mp4,2019-01-15,5,1,0,1,0,0,0,0,
20180801_LandsSeminar_Interview_480p.mp4,2019-01-15,240,1,1,0,0,0,0,0,
3manLive_EP12_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180703_health_headache_480p.mp4,2019-01-15,290,1,0,1,0,0,0,0,
3manLive_EP34_v2_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181129_dailynews_china_480p.mp4,2019-01-15,230,1,0,0,0,1,0,0,
20170327_NetDaily_Turtle_480p.mp4,2019-01-15,35,1,0,1,0,0,0,0,
